Air;EDT;dámská;květinová;citron;břečťan;vonokvětka;konvalinka;růže z Damašku;gardénie;ambra;santalové dřevo;;;;;;;;;
Amazonia Her;EDT;dámská;květinová;pitanga;bergamot;brazilský pomeranč;mučenka;zimolez;vodní lilie;průsvitné pižmo;bambus;cedrové dřevo;;;;;;;;
Amber Elixir;EDP;dámská;ovocná;mandarinka;lékořice;černý rybíz;pivoňka;otočník;sladké mandle;pudrové pižmo;santalové dřevo;jantar;;;;;;;;
Amber Elixir Night;EDP;dámská;orientální;planá růže;bergamot;vonné tyčinky;kosatec;ambra;pačuli;vanilkový bourbon;santalové dřevo;;;;;;;;;
Aromabliss Povzbuzující;Kolínská;dámská;ovocná;citron;bergamot;pomeranč;kardamom;lesní plody;jasmín;magnolie;planá růže;pižmo;amyris;;;;;;;
Aromacare Harmonizační;Kolínská;dámská;mořská;citron;růžové dřevo;kardamom;guajakové dřevo;mořský komplex;růže;pižmo;;;;;;;;;;
Aromacare Energizující;Kolínská;dámská;citrusová;mandarinka;grapefruit;pomeranč;černý rybíz;ananas; broskev;lilie; zelené jablko; zelený čaj; máta;tymián bílý;černý pepř;citron;pižmo;bílý cedr;;
Aromacare Zklidňující;Kolínská;dámská;citrusová;mandarinka;citron;pomeranč;bambusové listy;fíky;bílý lotos;brambořík;pižmo;kosatec;santalové dřevo;;;;;;;
Babes Crazy Kiwi;EDT;dámská;ovocná;kiwi;ananas;zelená růže;bílá frézie;pižmo;vanilka;;;;;;;;;;;
Babes Passion Berry;EDT;dámská;květinová;frézie;červené ovoce;jasmín;konvalinka;růže;pižmo;pačuli;;;;;;;;;;
Babes Spicy mango;EDT;dámská;orientální;mango;ylang-ylang;světlé dřeviny;;;;;;;;;;;;;;
Babes Sweet Peach;EDT;dámská;ovocná;pomeranč;broskev;květiny;pižmo;santalové dřevo;;;;;;;;;;;;
Dancing Lady;EDT;dámská;orientální;mandarinka;liči;hruška;ylang-ylang;pivoňka;orchidej Shary Baby;pižmo;vanilka;cedrové dřevo;;;;;;;;
Delicacy;EDT;dámská;ovocná;mandarinka;růžový pepř;černý rybíz;hruška;maliny;růžová voda;otočník;jahody;krystalové pižmo;pralinky;cedrové dřevo;vanilkový bourbon;;;;;
Delight;EDT;dámská;květinová;pivoňka;bergamot;barbadoská třešeň;jasmín;brambořík;růže;pižmo;cedrové dřevo;santalové dřevo;;;;;;;;
Divine;EDT;dámská;svěží;bambus;hyacint;fialka;břečťan;kiwi;jasmín;orchidej;bílá frézie;růže;bílé pižmo;lilie;santalové dřevo;malina;;;;
