Air;EDT;dámská;květinová;citron;břečťan;vonokvětka;konvalinka;růže z Damašku;gardénie;ambra;santalové dřevo;
Amazonia Her;EDT;dámská;květinová;pitanga;bergamot;brazilský pomeranč;mučenka;zimolez;vodní lilie;průsvitné pižmo;bambus;cedrové dřevo
Amber Elixir;EDP;dámská;ovocná;mandarinka;lékořice;černý rybíz;pivoňka;otočník;sladké mandle;pudrové pižmo;santalové dřevo;jantar
Amber Elixir Night;EDP;dámská;orientální;planá růže;bergamot;vonné tyčinky;kosatec;ambra;pačuli;vanilkový bourbon;santalové dřevo;
Aromacare Harmonizační;Kolínská;dámská;mořská;citron;růžové dřevo;kardamom;guajakové dřevo;mořský komplex;růže;pižmo;;
Babes Crazy Kiwi;EDT;dámská;ovocná;kiwi;ananas;zelená růže;bílá frézie;pižmo;vanilka;;;
Babes Passion Berry;EDT;dámská;květinová;frézie;červené ovoce;jasmín;konvalinka;růže;pižmo;pačuli;;
Babes Spicy mango;EDT;dámská;orientální;mango;ylang-ylang;světlé dřeviny;;;;;;
Babes Sweet Peach;EDT;dámská;ovocná;pomeranč;broskev;květiny;pižmo;santalové dřevo;;;;
Elvie;EDT;dámská;květinová;frézie;lístky fialky;konvalinka;citrusové tóny;směs bílých květů;květy ovocných stromů;pižmo;ambra;exotické dřeviny
Fire;EDT;dámská;květinová;maceška;citrusové oleje;tygrovaná lilie;hřebíček;ambra;indický dřevitý akord;;;
Freya;EDT;dámská;svěží;citron;grapefruit;pomeranč;jasmín;konvalinka;zázvor;pačuli;cedrové dřevo;
Giordani Gold;EDP;dámská;květinová;mandarinka;italský pomeranč;italský citron;madonina lilie;jasmín bílý;pomerančové kvítky;bílé pižmo;pačuli;mech
Giordani Gold Essenza;Parfém;dámská;květinová;bergamot;citron;mandarinka;pomerančový květ;jasmín;zelená mandle;toskánské dřevo;jantar;mošus
Grace;EDT;dámská;orientální;pepř;hrušková tříšť;kardamom;jasmín;fialka;karafiát;pižmo;vřes vetiver;kašmírové dřevo
Ice;EDT;dámská;citrusová;mandarinka;grapefruit;ozonový akord;meloun;konvalinka;frézie;bílé růže;bílé pižmo;brambořík
Life Circle - Blossom;EDT;dámská;citrusová;mandarinka;citron;pomeranč;jasmín;lístky neroli;broskev;pižmo;;
Life Circle - Leaf;EDT;dámská;bylinná;břečťan;zázvor;petržel;jasmín;konvalinka;bílé pižmo;pačuli;santalové dřevo;ambra
Love Potion;EDP;dámská;orientální;mandarinka;zázvor;rum;bílá lilie;vanilka;kakaové květy;čokoláda;santalové dřevo;tonkové semeno
Midsummer Woman;EDT;dámská;mořská;grep;meloun;vodní tóny;jasmín;růže;meruňka;pižmo;mimóza;santalové dřevo
